Category,SubCategory,Customer,Created Date Time,Case ID,Closure Description,Status,Customer Payroll No,Priority,Description - Rich Text,Short Description,Service,Source,Owned By,Owned By Team
Contract,Advice and Guidance,[redacted],30/04/2023 19:11,345714,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@hotmail.com\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nGood evening,\r\n \r\n \r\nMay I check if you have enough evidence to move me to Grade 2 on the main grade scale from August or would you require me to send any additional evidence?\r\n \r\nMany thanks,\r\n \r\n",[redacted],Employee Relations,E-mail,[redacted],HR Support (Teaching)
Forms,TRP,[redacted],02/06/2023 15:17,349124,[redacted],Closed,,2,Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: (redacted) redacted@aberdeenshire.gov.uk\r\n \r\nKind regards\r\nredacted\r\n \r\nredacted\r\nQuality Improvement Officer \r\nAberdeenshire Council  |  Education and Children’s Services\r\nWoodhill House |  Westburn Road  |  ABERDEEN   |  AB16 5GB\r\nTel:  redacted  |  Email: redacted@aberdeenshire.gov.uk \r\nNorthern Alliance Toolkit to support engagement with the World Education Summit (padlet.com),[redacted],Employee Relations,E-mail,[redacted],HR Support (Teaching)
Contract,Advice and Guidance,[redacted],19/09/2023 10:30,359164,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHello, \r\nI recently received a contract stating that my hours would be increased due to a temporary fixed contract until next August. However, I am in the process of trying to get a mortgage and they would like to see confirmation of my new pay. I was wondering if there was anyway you could provide this?\r\n \r\nI have attached the contract I have been previously sent. \r\n \r\nKind Regards, \r\n",[redacted],Employee Relations,E-mail,[redacted],HR Support (Teaching)
Travel and Subsistence,Advice and Guidance,[redacted],29/06/2023 09:09,351655,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nGood Morning!\r\n \r\nI noticed that my mileage for May was not included in my pay this month.\r\nI did submit it on time, however, I noticed that I did not get a confirmation email.\r\nWould you please look into this for me and let me know if I have to submit May’s mileage again?\r\nThank you\r\nredacted\r\n \r\nredacted\r\nredacted\r\nMobile - redacted\r\n \r\nWesthill Academy\r\nHay’s Way\r\nWesthill AB32 6XZ\r\nMobile : redacted\r\n \r\nredacted@aberdeenshire.co.uk\r\n \r\nThis email is in 14 point font to improve accessibility under the Disability Discrimination Act (DDA)",[redacted],Employee Relations,E-mail,[redacted],HR Travel
Travel and Subsistence,Advice and Guidance,[redacted],18/09/2023 11:25,359055,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nGood morning,\r\n \r\nUnfortunately my colleague redacted was recently in a biking accident and so is now unable to attend an event in Glasgow next week. Please can we cancel the accommodation and train travel (realise there may be a cancellation fee).\r\n \r\nThank you\r\n",[redacted],Employee Relations,E-mail,[redacted],HR Travel
Pension,Provider,[redacted],20/03/2023 14:41,341688,[redacted],Closed,,2,Please categorise this call auto-logged from an email.\r\n \r\nFrom: (Employer) employer@nespf.org.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nGood afternoon\r\n \r\nWe are currently waiting on a decision regarding the ill health retirement of redacted (redacted). \r\n \r\nDo you have any update on this?\r\n \r\nKind regards\r\n \r\n,[redacted],Pay,E-mail,[redacted],HR Advisor
Contract,Advice and Guidance,[redacted],18/09/2023 18:33,359132,[redacted],Logged,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nGood afternoon,\r\nI have recently been In contact with redacted regarding payments to be made regarding my redacted golden handshake. \r\nredacted arranged for the payment to be made in June but i have not had anything since. \r\nI wasn't sure if this was something I needed to apply for each time. \r\nPlease let me know What else I need to do\r\nKind regards \r\n \r\nredacted \r\n \r\nSent from Outlook for iOS",[redacted],Employee Relations,E-mail,[redacted],HR Advisor
Post Management,Change - no approval needed,[redacted],07/06/2023 14:20,349467,[redacted],Closed,,2,Please categorise this call auto-logged from an email.\r\n \r\nFrom: (HSCP Staffing) hscpstaffing@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHi\r\n \r\nCan the 2 NHS managers for HSCP -  redacted & redacted be removed from itrent please as they have now retired.\r\n \r\nThank you\r\nredacted\r\n \r\nredacted\r\nAssistant Staffing Officer\r\nHealth & Social Care Partnership\r\nViewmount\r\nStonehaven\r\nTel: redacted\r\nWorking pattern – Week 1 Monday to Friday\r\nWeek 2 Monday to Thursday,[redacted],Structure,E-mail,[redacted],HR Post Team
Post Management,Change - no approval needed,[redacted],14/09/2023 08:33,358762,[redacted],Closed,,2,Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nMorning\r\n \r\nCould we change redacted line manager to redacted please?\r\n \r\nKind regards\r\n \r\nredacted\r\nSchool Administrator\r\nredacted Primary School\r\nTel: redacted,[redacted],Structure,E-mail,[redacted],HR Post Team
Vacancy Management,Advice and Guidance,[redacted],30/08/2023 15:08,357372,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@hotmail.com\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\n \r\nYou don't often get email from redacted@hotmail.com. Learn why this is important\r\n \r\n \r\n \r\nHi we are a heating merchant and have successfully hired via the kickstart scheme, and this has led to 2 full time positions within Aberdeen and Livingston \r\nCould you let me know if there's any scheme available now we could find a young person to work in our branch please? High probability of a full time job at the end of Schene if they prove to be suitable and hard working \r\nMany thanks \r\nredacted \r\n \r\nSent from Outlook for iOS",[redacted],Recruitment,E-mail,[redacted],HR Resourcing
My Pay,Advice and Guidance,[redacted],13/09/2023 15:04,358727,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@yahoo.co.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHello I have small query in regards to my July backpay for my cleaning job at redacted Academy. It appears I have only been paid 38pence for my permanent part time position, where I have been paid £11.46 for my relief cleaning position…? Would you please be able to look into this for me please. Huge apologies if this is correct but thought it was worth checking. My employee no is 1234567. Kind regards redacted Sent from my iPhone",[redacted],Pay,E-mail,[redacted],HR Reward and Analytics
